ep,start,end,dur,text,chi_prob,in_dataset
ep07,932.5,934.98,2.48,本当ですか?やったー,0.033,0
ep07,934.98,938.98,4.0,先輩、卵は甘いの甘くないのどっちがいいですか?,0.079,0
ep07,938.98,940.98,2.0,うーん、甘くないの,0.006,0
ep07,940.98,944.98,4.0,やらかんでー!楽しいなー、こういうの!,0.015,0
ep07,944.98,946.98,2.0,新婚さんみたいですね!,0.015,0
ep07,946.98,950.98,4.0,あ、でも、ロウホだったら私が幼いかな?,0.011,0
ep07,950.98,952.98,2.0,そ、そんなことないよ!,0.007,0
ep07,952.98,955.98,3.0,それ、幼妻シリーズ好きだし!,0.007,0
ep07,955.98,956.98,1.0,シリーズ?,0.175,0
ep07,960.98,962.98,2.0,何言ってんだ、俺!,0.02,0
ep07,962.98,964.18,1.2,元すばくん!,0.079,0
ep07,964.86,966.06,1.2,君にお客さーん!,0.253,0
ep07,966.06,967.56,1.5,元すば!,0.04,0
ep07,968.44,969.28,0.84,しんぼ?,,0
ep07,970.98,973.32,2.34,なんだよしんぼ、妙にあわてて,0.036,0
ep07,973.32,976.98,3.66,あのさ、お前パソコンにバイトか何かさせてんのか?,0.023,0
ep07,976.98,978.74,1.76,え?いや…,0.003,0
ep07,978.74,982.98,4.24,やっぱりな、今国分寺からメールがあって、すもも!,0.011,0
ep07,982.98,986.22,3.24,はい!再生します!,0.044,0
ep07,986.22,992.62,6.4,チーさんは今生でのぞき可愛い子猫ちゃんにゃんにゃんというのぞき部屋にいます,0.006,0
ep07,992.62,998.34,5.72,のぞき部屋,0.008,0
ep07,998.34,1000.84,2.5,なんでそうなんだよ,0.013,0
ep07,1000.84,1004.48,3.64,チーはまだ世の中のこととか常識とかよくわかってないのに,0.011,0
ep07,1004.48,1005.76,1.28,何かあったら,0.048,0
ep07,1005.76,1008.6,2.84,だからあれほど言ったのにあれほど,0.029,0
ep07,1008.6,1010.22,1.62,なんでだ,0.014,0
ep07,1010.22,1012.08,1.86,金,0.012,0
ep07,1012.08,1015.4,3.32,それあるといいの,0.336,0
ep07,1015.4,1019.22,3.82,まさか!どこだ!その店どこだ!,0.002,0
ep07,1019.22,1021.16,1.94,落ち着けよ!,0.003,0
ep07,1021.16,1025.1,3.94,スモモに住所データ入れておいたから案内してもらえ,0.019,0
ep07,1025.1,1026.3,1.2,どっちだ!,0.017,0
ep07,1026.3,1029.8,3.5,マスター!この人は入れる!,0.04,0
ep07,1029.8,1031.3,1.5,いいから頼むぞ!,0.004,0
ep07,1031.3,1036.0,4.7,はい!ではナビモード開始しまーす!,0.032,0
ep07,1036.0,1039.8,3.8,まずここを直進!3メートル先を左折!,0.01,0
ep07,1039.8,1042.3,2.5,ダイドレッドから逃れました!,0.061,0
ep07,1045.4,1051.4,6.0,さて、そろそろ予定の時間だ。準備いいかな?,0.02,0
ep07,1051.4,1053.4,2.0,じゃあ、やってみようか。,0.111,0
ep07,1053.4,1055.4,2.0,チー、何をやる?,0.931,1
ep07,1059.4,1063.4,4.0,そのまま着信でーす。次のラジオ、右でーす。,0.003,0
ep07,1066.4,1068.4,2.0,次は左でーす。,0.006,0
ep07,1068.4,1076.26,7.86,すみません,0.003,0
ep07,1076.26,1084.1,7.84,ちょっとどうしたの,0.008,0
ep07,1084.1,1086.4,2.3,おいもしもし,0.004,0
ep07,1086.4,1089.46,3.06,仕方ないな,0.037,0
ep07,1098.4,1106.64,8.24,よく覚えておいて,0.115,0
ep07,1106.64,1111.7,5.06,この多くのスイッチをしてあなたは再起動した,0.046,0
ep07,1111.7,1116.96,5.26,だからあなたを本当に好きになってくれる人が現れるまで,0.486,0
ep07,1116.96,1119.22,2.26,誰にも触らせちゃダメ,0.027,0
ep07,1119.22,1121.14,1.92,誰にも,0.264,0
ep07,1121.14,1124.96,3.82,そう誰にも触らせちゃダメ,0.052,0
ep07,1128.4,1149.12,20.72,前方300m手前の建物7階が目的地でーす,0.203,0
ep07,1149.12,1150.44,1.32,あれか,0.245,0
ep07,1150.44,1159.56,9.12,おいおい突然どうしたの,0.004,0
ep07,1159.56,1161.54,1.98,言ってる意味わかんなかった,0.022,0
ep07,1161.54,1163.58,2.04,簡単でしょ,0.027,0
ep07,1163.58,1165.44,1.86,さやってみよう,0.028,0
ep07,1165.44,1167.26,1.82,ダメ,0.512,1
ep07,1167.26,1170.56,3.3,なんか特別なプログラムでも入れたのか,0.038,0
ep07,1170.56,1172.44,1.88,ひできくん,0.15,0
ep07,1174.44,1175.6,1.16,な、なんだ,0.076,0
ep07,1175.6,1177.8,2.2,しー,0.052,0
ep07,1177.8,1187.8,10.0,ZEEK,0.083,0
ep07,1282.68,1284.32,1.64,さてバイトとしてヤバいのはどれ?,0.003,0
ep07,1284.66,1290.66,6.0,コンビニ、ティッシュ配り、皿洗い、漫画のアシスタント、交通量調査、ウェイトレス、新聞配達、,0.004,0
ep07,1290.66,1291.76,1.1,アニメの進行,0.079,0
ep07,1291.76,1292.74,0.98,工事現場,,0
ep07,1292.74,1293.6,0.86,家庭教師,,0
ep07,1293.6,1294.26,0.66,電話番,,0
ep07,1294.26,1295.36,1.1,葵のスナック,0.001,0
ep07,1295.36,1296.58,1.22,コンサートスタッフ,0.001,0
ep07,1296.58,1297.36,0.78,エキストラ,,0
ep07,1297.36,1298.12,0.76,着ぐるみ,,0
ep07,1298.12,1299.22,1.1,覗き部屋,0.005,0
ep07,1299.22,1301.22,2.0,ってやっぱり覗き部屋だろ,0.013,0
ep07,1301.22,1303.4,2.18,なんでそんなところにいるんだよ,0.004,0
ep07,1303.4,1304.02,0.62,チー,,0
ep07,1304.02,1305.24,1.22,ちょびっつ,0.002,0
ep07,1305.24,1307.28,2.04,次回チー戸惑う,0.012,0
ep07,1307.28,1308.28,1.0,チー,0.78,1
ep07,1308.28,1310.46,2.18,秀樹に言われたいいバイト見つけた,0.555,1
ep07,1320.66,1350.64,29.98,ご視聴ありがとうございました,,0
ep08,98.0,108.26,10.26,前方300m手前の建物7階が目的地です,0.023,0
ep08,108.26,109.6,1.34,あれか,0.054,0
ep08,109.6,117.24,7.64,なんだ,0.031,0
ep08,117.24,119.24,2.0,お前は…,0.139,0
ep08,119.24,121.24,2.0,次…,0.081,0
ep08,147.24,155.86,8.62,Gは?Gはどこだ?,0.004,0
ep08,156.94,158.0,1.06,くそ,0.016,0
ep08,158.0,159.24,1.24,どこ行ったんだ,0.037,0
ep08,177.24,186.54,9.3,おいあれ,0.03,0
ep08,186.54,195.24,8.7,ジー,0.015,0
ep08,195.24,197.8,2.56,どこ行ったジー,0.011,0
ep08,197.8,198.9,1.1,返事しろ,0.05,0
ep08,198.9,200.64,1.74,どこ行ったですか,0.188,0
ep08,207.24,227.4,20.16,ここで何かが起こったんだ,,0
ep08,227.4,228.2,0.8,イズキ,,0
ep08,228.2,229.9,1.7,4分の1倍速で再生,0.021,0
ep08,229.9,230.6,0.7,はい,,0
ep08,237.24,240.12,2.88,ゆずき,0.028,0
ep08,240.12,243.24,3.12,ゆずき,0.297,0
ep08,243.24,248.2,4.96,くそーどこだ,0.01,0
ep08,248.2,253.92,5.72,おいスモモ,0.0,0
ep08,253.92,256.64,2.72,もう一度ミノルくん家に電話できるか,0.005,0
ep08,256.64,260.16,3.52,おいスモモどうした,0.003,0
ep08,260.16,263.02,2.86,大丈夫かスモモスモモ,0.008,0
ep08,263.02,265.7,2.68,まさか壊れちゃったんじゃないだろうな,0.016,0
ep08,265.7,266.32,0.62,おい,,0
ep08,266.32,269.8,3.48,ちくしょう、借り物なんだぜ、この子,0.015,0
ep08,269.8,271.6,1.8,よかったな,0.004,0
ep08,271.6,274.12,2.52,こちらは北口交番です,0.079,0
ep08,274.12,277.54,3.42,駅前広場でパソコンを停止されている方,0.003,0
ep08,277.54,280.0,2.46,至急移動してください,0.006,0
ep08,280.0,281.96,1.96,繰り返します,0.003,0
ep08,281.96,285.36,3.4,こちらは北口駅前交番です,0.04,0
ep08,285.36,289.0,3.64,駅前にパソコンを停止されている方は,0.004,0
ep08,289.0,291.18,2.18,大至急移動してください,0.025,0
ep08,291.18,294.04,2.86,通行の妨げとなっております,0.005,0
ep08,294.04,296.76,2.72,地球移動してください,0.003,0
ep08,296.76,300.7,3.94,おい、うちのは動いたか,0.01,0
ep08,300.7,303.12,2.42,いや、ダメです、原因もわかりません,0.005,0
ep08,303.12,304.76,1.64,しょうがないな,0.011,0
ep08,304.76,308.2,3.44,こっちのもダメです、全然再起動しません,0.038,0
ep08,308.2,310.92,2.72,どうなっちゃったんだ、あったか,0.024,0
ep08,310.92,315.16,4.24,なんだ、何かあったのか,0.001,0
ep08,315.16,317.16,2.0,どうしても動かんのかね,0.016,0
ep08,317.16,318.34,1.18,はあ,0.008,0
ep08,318.34,320.82,2.48,どうしてこうなったかわかるかね,0.01,0
ep08,320.82,325.98,5.16,それがあそこの時計の上に立ったパソコンを眺めてたら急に,0.002,0
ep08,325.98,328.62,2.64,時計?パソコン?,0.04,0
ep08,335.46,338.42,2.96,おらんじゃないかそんなものどこにも,0.011,0
ep08,338.42,339.54,1.12,ほう,0.008,0
ep08,339.54,342.36,2.82,ジーどこだどこに行った,0.001,0
ep08,342.36,343.38,1.02,ジー,0.012,0
ep08,350.82,380.8,29.98,次回予告,,0
ep08,380.82,386.82,6.0,ジー!,0.059,0
ep08,386.82,388.82,2.0,ジー!,0.091,0
ep08,388.82,390.82,2.0,聞こえないのか?,0.005,0
ep08,410.82,412.82,2.0,ついー!,0.126,0
ep08,418.82,419.82,1.0,秀樹,0.384,1
ep08,430.82,432.82,2.0,あの、どうかされました?,0.029,0
ep08,432.82,434.82,2.0,ど、どうかされたじゃないよ,0.003,0
ep08,434.82,436.82,2.0,わー、びっくりしたー,0.007,0
ep08,436.82,438.82,2.0,何がですか?,0.28,0
ep08,440.82,442.82,2.0,はい,0.017,0
ep08,442.82,447.82,5.0,小さな発見!小さな発見!,0.052,0
ep08,447.82,449.82,2.0,すまな,0.005,0
ep08,470.82,475.14,4.32,G,0.02,0
ep08,475.14,481.58,6.44,とにかく何とかして連れて帰らないと,0.002,0
ep08,481.58,484.24,2.66,"1,2,3",0.017,0
ep08,484.24,486.38,2.14,仕方ない,0.021,0
ep08,486.38,489.38,3.0,背に腹は帰られん,0.003,0
ep08,489.38,492.14,2.76,お客さんその子パソコン?,0.01,0
ep08,492.54,495.36,2.82,手先でフリーズしちゃったんだね,0.003,0
ep08,495.36,497.92,2.56,何かと便利なパソコンだけど,0.002,0
ep08,497.92,499.96,2.04,帰って高くついちゃったか,0.002,0
ep08,499.96,502.28,2.32,ねぇ、まぁ,0.01,0
ep08,502.28,508.72,6.44,でもGは、俺にとって大切なパソコンなんで,0.003,0
ep08,508.72,512.38,3.66,だから,0.176,0
ep08,512.38,533.94,21.56,なんだか,,0
ep08,533.94,538.12,4.18,アクション映画の夢を見たような気がする,0.042,0
ep08,538.12,544.02,5.9,しかし ゆうべ は びっくり し た な 本当 に,0.002,0
ep08,545.62,547.94,2.32,な こと が あっ た の に よく ね てる,0.027,0
ep08,549.2,551.2,2.0,と まて よ,0.072,0
ep08,551.54,557.06,5.52,眠っ てる みたい に 見える けど 別 に 寝 てる わけ じゃ ない ん だ よ な これ,0.021,0
ep08,558.5,562.08,3.58,そう いや 昨日 あれ から 全然 目 を 覚ま さ ない と,0.034,0
ep08,563.22,565.52,2.3,この まま 動か ない と か ない よ な,0.029,0
ep08,565.52,570.02,4.5,動かなかったらどうなるんだ,0.009,0
ep08,570.02,576.82,6.8,ずっとこのままだったら,0.02,0
ep08,576.82,580.1,3.28,起きてくれよ,0.009,0
ep08,580.1,581.2,1.1,おい,0.028,0
ep08,581.2,583.2,2.0,ちぃ!ちぃ!,0.137,0
ep08,586.2,591.2,5.0,ひだき!ちぃ!ひだき!ひだき!,0.178,0
ep08,591.2,592.2,1.0,こら!,0.261,0
ep08,599.2,601.2,2.0,よかった。,0.214,0
ep08,611.2,614.84,3.64,実様,0.131,0
ep08,614.84,617.34,2.5,お茶のおかわりは,0.053,0
ep08,617.34,620.16,2.82,うんもらうよ,0.039,0
ep08,620.16,627.34,7.18,ちいさん大丈夫だったんでしょうか,0.266,0
ep08,627.34,629.58,2.24,しんぼさんからメールが来てた,0.049,0
ep08,629.58,634.72,5.14,なんとか見つけ出して帰ってきたらしいよ,0.011,0
ep08,634.72,637.88,3.16,そうですかよかったですね,0.149,0
ep08,637.88,640.88,3.0,わからないのは,0.034,0
ep08,640.88,645.52,4.64,なぜこの辺一体のパソコンがフリーズしたのかだな,0.036,0
ep08,645.52,648.58,3.06,ゆずきにも原因はわからないんだよね,0.015,0
ep08,648.58,650.24,1.66,あの時のこと,0.009,0
ep08,650.24,654.1,3.86,はい、でも,0.019,0
ep08,654.1,655.44,1.34,でも,0.017,0
ep08,655.44,661.4,5.96,確かに声が聞こえたような気がしました,0.202,0
ep08,661.4,663.12,1.72,誰の,0.132,0
ep08,663.12,664.86,1.74,わかりません,0.11,0
ep08,664.86,667.64,2.78,でも,0.244,0
ep08,667.64,687.66,20.02,そう、どなたか知っている方の声だったような,0.424,0
ep08,687.66,689.42,1.76,あれは,0.067,0
ep08,689.42,691.58,2.16,バイト,0.874,1
ep08,691.58,694.64,3.06,え、もう一回行ってみなさい,0.005,1
ep08,694.64,697.92,3.28,チー昨日はバイトに行ってた,0.901,1
ep08,697.92,700.48,2.56,だからダメだって言ったでしょうが,0.011,1
ep08,700.48,702.96,2.48,ヤバいバイトはしちゃダメだって,0.005,0
ep08,702.96,703.88,0.92,うん,,0
ep08,703.88,706.36,2.48,ヒデキダメだって言った,0.932,1
ep08,706.36,709.48,3.12,だからチーヤバいバイトはしなかった,0.932,1
ep08,709.48,712.86,3.38,覗き部屋は十分ヤバいバイト,0.009,1
ep08,712.86,713.42,0.56,チー,,0
ep08,713.42,717.12,3.7,お兄さんいいバイトって言ってた,0.762,0
ep08,717.12,721.54,4.42,ああそういう人は必ずそういうの,0.006,0
ep08,721.54,725.44,3.9,チーがバイトしたら、ひできうれしいって言った,0.818,1
ep08,725.44,726.04,0.6,え?,,1
ep08,726.96,730.38,3.42,ひでき、お金でいろいろ買いたいって言ってた,0.897,0
ep08,730.38,733.36,2.98,そうだよな,0.012,0
ep08,733.36,737.14,3.78,俺も思わせぶりなこと言っちゃったんだよな,0.002,0
ep08,737.14,743.1,5.96,チー、間違えた?,0.897,0
ep08,744.0,745.58,1.58,チー、いけない?,0.903,1
ep08,745.58,750.18,4.6,い、いや、チーは行けなくないよ、全然,0.006,1
ep08,750.18,752.34,2.16,悪くない,0.008,0
ep08,752.34,754.38,2.04,本当に,0.746,1
ep08,754.8,757.44,2.64,G,0.094,0
ep08,757.44,762.22,4.78,Gは悪くないんだ,0.01,0
ep08,762.22,763.88,1.66,ま,0.022,0
ep08,763.88,765.54,1.66,G,0.418,1
ep08,765.54,768.16,2.62,秀樹に嫌われたくないから,0.928,0
ep08,768.16,770.6,2.44,だって秀樹はGの,0.933,1
ep08,770.6,771.96,1.36,気持ちは嬉しいけど,0.014,0
ep08,771.96,773.5,1.54,そのえっと,0.013,0
ep08,773.5,777.0,3.5,Gは無理してバイトなんてしなくていいんだよ,0.025,0
ep08,777.0,777.98,0.98,どうして,,0
ep08,777.98,780.28,2.3,ひでき嬉しいって言ってた,0.97,1
ep08,780.28,781.42,1.14,うーん,0.026,1
ep08,781.42,783.48,2.06,よしじゃあこうしよう,0.02,0
ep08,783.48,786.02,2.54,俺がチーのバイト先見つけてくるよ,0.02,0
ep08,786.02,788.76,2.74,だからチーはそれまでお留守番,0.078,0
ep08,788.76,789.74,0.98,いいな,,0
ep08,789.74,794.16,4.42,うんありがとうひでき,0.639,1
ep08,794.16,795.86,1.7,チー嬉しい,0.773,1
ep08,795.86,801.06,5.2,いや,0.091,1
ep08,801.06,803.52,2.46,俺を言うのは俺の方だ,0.016,0
ep08,803.52,804.92,1.4,ありがとうな,0.025,0
ep08,804.92,807.08,2.16,チー俺のためにさ,0.097,0
ep08,807.08,814.22,7.14,期間は短期,0.016,0
ep08,814.22,817.66,3.44,でやばくないのが条件,0.065,0
ep08,817.66,822.44,4.78,でもって一般常識を知らない地位を使ってくれるような店か,0.012,0
ep08,822.44,827.46,5.02,そんな都合のいいとこなんてあるかな,0.022,0
ep08,827.46,832.28,4.82,気にしないでくださいね,0.069,0
ep08,832.28,834.06,1.78,昨日のことなんて,0.043,0
ep08,834.06,836.14,2.08,うんでも食べたかったよ,0.019,0
ep08,836.14,837.58,1.44,ユミちゃんの手料理,0.009,0
ep08,837.82,841.02,3.2,でもよかったですね パソコンが無事で,0.029,0
ep08,841.18,844.62,3.44,まあね でも本人めげてないみたいでさ,0.011,0
ep08,846.06,849.26,3.2,新しいバイト決めないと また変なことしそうで,0.021,0
ep08,849.82,851.66,1.84,俺が探すしかないみたい,0.019,0
ep08,852.14,854.7,2.56,そっか 大変ですね,0.043,0
ep08,855.1,859.02,3.92,でもそうでもなかったよ 意外と簡単に見つかったんだ,0.019,0
ep08,859.18,860.18,1.0,ん?,0.04,0
ep08,860.46,862.3,1.84,うちのパソコンのバイト先,0.021,0
ep08,862.3,867.66,5.36,ほらこの商店街にさチロルってお菓子屋さんがあるじゃん,0.035,0
ep08,867.66,871.9,4.24,そこでさ何とかなんとかっていうフェアをやってるらしいんだ,0.024,0
ep08,871.9,873.22,1.32,5周年,0.058,0
ep08,873.58,876.74,3.16,5周年記念フェアでしょ,0.115,0
ep08,876.74,880.7,3.96,チラシにはそう書いてありますけど,0.063,0
ep08,880.7,881.82,1.12,ああそれだ,0.008,0
ep08,881.82,886.36,4.54,それで店長さんと話をしたらジオを雇ってくれるってさ,0.009,0
ep08,886.36,888.26,1.9,いやよかったよ,0.005,0
ep08,888.26,890.42,2.16,すんなり見つかってさバイト先,0.004,0
ep08,890.42,894.8,4.38,え、そうですね,0.265,0
ep08,894.8,897.14,2.34,よし、開店するぞ,0.013,0
ep08,897.14,898.02,0.88,喜んで,,0
ep08,898.02,899.78,1.76,さあ、ゆめちゃん,0.01,0
ep08,899.78,900.56,0.78,え?,,0
ep08,910.78,916.22,5.44,ただいま、チロル開店5周年の記念フェアを開催中です,0.727,0
ep08,916.22,921.44,5.22,お菓子をお買い上げいただいた方にプレゼントを差し上げています,0.78,1
ep08,921.44,927.1,5.66,ただいまチロル開店5周年の記念フェアを開催中です,0.807,1
ep08,927.1,930.0,2.9,お菓子をお買い上げいただいた方に,0.714,1
ep08,930.0,931.94,1.94,かわいいあの子,0.218,0
ep08,931.94,933.68,1.74,お、ほんとだ,0.006,0
ep08,933.68,936.5,2.82,お、すんげーよくできたパソコンだな,0.002,0
ep08,936.5,938.5,2.0,パソコンだって,0.012,0
ep08,938.5,941.94,3.44,そうだよ、あの耳見ればわかるじゃん,0.043,0
ep08,941.94,943.3,1.36,でもかわいいよね,0.474,0
ep08,943.3,945.28,1.98,パソコンですか?,0.001,0
ep08,945.28,946.08,0.8,ええ,,0
ep08,946.08,948.5,2.42,へえかわいいですね,0.02,0
ep08,948.5,953.46,4.96,この伊勢物語から抜粋した例文にあるサブライと,0.119,0
ep08,953.46,960.24,6.78,竹取物語からの例文にあるサブライとでは後につく手と剣で,0.11,0
ep08,960.24,963.58,3.34,ちゃんとやってっかな迷惑かけないで,0.013,0
ep08,963.58,966.08,2.5,ちーちゃーん,0.007,0
ep08,966.08,969.52,3.44,お疲れ様,0.009,0
ep08,969.52,970.36,0.84,ちー,,0
ep08,970.36,975.82,5.46,時間だから今日はもう上がっていいですよ,0.024,0
ep08,975.82,978.26,2.44,上がり?,0.745,1
ep08,978.8,982.22,3.42,ええ今日のバイトはこれで終わりってことです,0.01,0
ep08,982.22,986.0,3.78,チーバイト初めてだからよくわからない,0.955,1
ep08,986.0,989.02,3.02,チーやること間違ってなかった?,0.882,1
ep08,989.02,991.52,2.5,間違ってなんかいませんよ,0.006,1
ep08,991.52,995.52,4.0,チーちゃん一生懸命働いてくれて本当に助かりました,0.005,0
ep08,995.52,998.78,3.26,チーお金もらえる?,0.762,0
ep08,998.78,1004.82,6.04,もちろんはい中に今日1日分のバイト料入ってますから,0.008,0
ep08,1004.82,1007.68,2.86,これお金,0.947,1
ep08,1007.68,1014.56,6.88,それは封筒お金はその中ですよ,0.009,1
ep08,1014.56,1017.56,3.0,この中に入ってるので何か買える,0.895,1
ep08,1017.56,1020.94,3.38,買えますよもちろん,0.05,1
ep08,1020.94,1024.5,3.56,秀樹の欲しいものこの中に入ってるので買える,0.836,1
ep08,1024.5,1028.22,3.72,チー、わからないこといっぱい,0.933,1
ep08,1028.22,1030.18,1.96,だから勉強したい,0.692,1
ep08,1030.18,1034.0,3.82,上田博康店長、いろいろ教えてください,0.814,1
ep08,1034.0,1037.72,3.72,あの、全部言わなくてもいいですよ、名前,0.004,1
ep08,1037.72,1038.96,1.24,店長で,0.008,0
ep08,1038.96,1039.96,1.0,店長,0.526,0
ep08,1039.96,1040.7,0.74,はい,,0
ep08,1040.7,1044.96,4.26,店長、この人は店長って呼ぶ,0.791,1
ep08,1044.96,1046.48,1.52,チー覚えた,0.503,0
ep08,1046.48,1050.6,4.12,チーちゃん、元沢くんが言ってた通り,0.023,0
ep08,1050.6,1053.5,2.9,本当にまだ一般常識とかわかってないんですね,0.004,0
ep08,1053.5,1058.36,4.86,でもいい子でよかったですよ,0.039,0
ep08,1058.36,1059.66,1.3,チー、いい子?,0.952,1
ep08,1060.58,1063.8,3.22,元スワ君が言ってた通りにとてもいい子でした,0.006,0
ep08,1063.8,1066.04,2.24,チー、いい子,0.92,1
ep08,1066.04,1068.42,2.38,秀樹が言ってた,0.919,1
ep08,1079.42,1081.76,2.34,それじゃ今日はお疲れ様でした,0.007,0
ep08,1081.76,1084.74,2.98,チーンがいなくなると店長一人?,0.81,0
ep08,1085.06,1086.58,1.52,え?ええ,0.044,0
ep08,1086.58,1088.86,2.28,他にバイトいないの?,0.918,1
ep08,1090.96,1095.84,4.88,実は前に女の子が一人いてくれたんですけどね,0.007,0
ep08,1097.72,1098.82,1.1,何でもないです,0.006,0
ep08,1098.82,1100.86,2.04,本当に何でもない?,0.888,1
ep08,1101.46,1107.3,5.84,ええ、それからこのフェアが終わってからもチロルでバイトしてくれませんか?,0.008,0
ep08,1107.3,1111.82,4.52,このフェアが終わってからもチロルでバイトしてくれます,0.961,1
ep08,1111.82,1113.44,1.62,いいの?,0.187,0
ep08,1114.44,1115.16,0.72,よければ,,0
ep08,1115.16,1116.56,1.4,ぜひ,0.015,0
ep08,1116.56,1120.36,3.8,よいかどうかひできに聞いてくる,0.96,1
ep08,1120.36,1123.34,2.98,ええ、元諏訪くんさえよければ毎週,0.004,0
ep08,1123.34,1125.54,2.2,ありがとう、店長,0.125,0
ep08,1125.54,1129.76,4.22,店長、大丈夫?,0.456,0
ep08,1130.94,1133.56,2.62,大丈夫ですけど、だめですよ,0.002,0
ep08,1133.56,1135.58,2.02,何がだめ?バイト?,0.963,1
ep08,1135.58,1138.82,3.24,バイトじゃなくて抱きついたりしちゃう,0.017,1
ep08,1138.82,1141.62,2.8,抱きつくのダメなの?,0.664,1
ep08,1142.1,1144.22,2.12,抱きつく相手によってね,0.032,0
ep08,1144.22,1145.82,1.6,ちぃ、わからない,0.932,1
ep08,1145.82,1148.28,2.46,どういう相手ならいいの?,0.941,0
ep08,1149.7,1153.36,3.66,どうって、ちぃちゃんの好きな人とか,0.008,0
ep08,1153.36,1158.98,5.62,ちぃの好きな人,0.781,1
ep08,1158.98,1166.98,8.0,私だけの人が私だけを好きになってくれたら,0.058,0
ep08,1166.98,1172.62,5.64,それが私だけの人と私の,0.046,0
ep08,1172.62,1175.24,2.62,こんにちは,0.016,0
ep08,1175.24,1179.32,4.08,あれどうしたんですか二人とも,0.011,0
ep08,1179.32,1181.48,2.16,ほらお迎えですよ,0.012,0
ep08,1181.48,1182.04,0.56,秀樹,,0
ep08,1182.04,1185.26,3.22,ちいお菓子配った,0.054,0
ep08,1185.26,1187.26,2.0,店長は店長と呼ぶ,0.19,0
ep08,1187.26,1188.52,1.26,チラルはお菓子屋さん,0.049,0
ep08,1188.52,1190.32,1.8,店長は上田ひろやさん,0.12,0
ep08,1190.32,1191.84,1.52,でも店長って呼ぶ,0.126,0
ep08,1191.84,1194.4,2.56,店長はひできより背が大きい,0.01,0
ep08,1194.4,1196.8,2.4,店長これからもバイトしてほしいって言った,0.047,0
ep08,1196.8,1198.02,1.22,ちょっと待て,0.057,0
ep08,1198.02,1199.16,1.14,ひできひでき,0.008,0
ep08,1199.16,1201.14,1.98,いいからゆっくり話して,0.006,0
ep08,1201.14,1201.74,0.6,な,,0
ep08,1201.74,1207.5,5.76,そうか,0.09,0
ep08,1207.5,1210.94,3.44,また来てくれって言われたのか,0.018,0
ep08,1210.94,1211.5,0.56,うん,,0
ep08,1211.5,1214.12,2.62,よかったなちい,0.03,0
ep08,1214.4,1218.24,3.84,ひできちいもっとバイトしていい,0.953,1
ep08,1218.24,1220.24,2.0,もちろんだよ,0.137,0
ep08,1220.24,1222.24,2.0,はい,,0
ep08,1222.24,1224.24,2.0,な,0.048,0
ep08,1224.24,1237.24,13.0,それで,,0
ep08,1237.24,1239.24,2.0,それで,0.073,0
ep08,1239.24,1242.34,3.1,ひできの好きなもの買える?,0.92,1
ep08,1242.34,1243.24,0.9,ちい,,1
ep08,1248.24,1259.84,11.6,これはチーノだよ,,0
ep08,1260.24,1262.38,2.14,チーが働いたんだから,0.014,0
ep08,1262.38,1264.38,2.0,チーのお金だ,0.024,0
ep08,1264.38,1265.3,0.92,秀樹,,0
ep08,1265.3,1267.32,2.02,お金いらなかった,0.806,1
ep08,1267.32,1270.34,3.02,いらないわけじゃないけど,0.006,1
ep08,1270.34,1272.36,2.02,けど,0.835,1
ep08,1272.36,1273.26,0.9,うん,,0
ep08,1273.26,1275.9,2.64,その気持ちだけで嬉しいよ,0.051,0
ep08,1275.9,1277.6,1.7,ありがとな,0.078,0
ep08,1277.6,1279.48,1.88,ちぃ,0.819,1
ep08,1279.48,1286.4,6.92,これを持っていけばこの中のお金の分だけ買い物ができるから,0.031,0
ep08,1286.4,1289.0,2.6,ちぃの好きなものを買うといいよ,0.017,0
ep08,1289.0,1290.56,1.56,好きなもの?,0.476,0
ep08,1291.34,1294.0,2.66,ちぃが欲しいと思うものだよ,0.014,0
ep08,1294.0,1296.02,2.02,ひでき,0.734,1
ep08,1296.02,1296.92,0.9,ん?,,0
ep08,1298.42,1299.56,1.14,抱きついていい?,0.92,1
ep08,1300.12,1304.36,4.24,だ、どうしたんだよ、改まって,0.009,0
ep08,1304.36,1305.32,0.96,いい?,,0
ep08,1305.32,1307.74,2.42,あ、うん,0.016,0
ep08,1417.72,1419.72,2.0,スモモ!もっと座ってどんなやつだ?,0.01,0
ep08,1419.72,1422.72,3.0,はい!いきなり大きな声を出す怖い人です!,0.002,0
ep08,1423.72,1426.72,3.0,あいつテンション高えからなそれから,0.003,0
ep08,1426.72,1430.22,3.5,うつぶつと何か言い始めたり死んだ人です,0.042,0
ep08,1430.22,1433.22,3.0,なるほどで結論は,0.002,0
ep08,1433.22,1435.22,2.0,危ない人,0.412,0
ep08,1435.22,1436.72,1.5,笑いねえよ,0.029,0
ep08,1436.72,1440.22,3.5,チャベツ次回シンボスマモ語る,0.003,0
ep08,1440.22,1443.72,3.5,あれ俺あいつの友達だったっけ,0.006,0
ep08,1443.72,1451.72,8.0,パパパパパラパパパパ,0.036,0
ep09,104.0,111.6,7.6,チロルでもらったバイト代,0.862,1
ep09,111.6,117.34,5.74,秀樹これでチーの好きなもの買っていいって言った,0.889,1
ep09,117.34,122.7,5.36,でもやっぱりチー秀樹に何かあげたい,0.96,1
ep09,128.34,129.8,1.46,ここもやさん,0.517,0
