file,ep,start,end,prob,source,text
ep18_00920.66s,ep18,920.66,923.68,,human,ひできはチーにいろいろ教えてくれる
ep18_00937.06s,ep18,937.06,939.95,,human,小島 よしゆき
ep18_00941.66s,ep18,941.66,944.05,,human,ここどこ?
ep18_00948.04s,ep18,948.04,950.74,,human,さっきこれが
ep18_00963.10s,ep18,963.1,964.49,,human,ちー覚えた
ep18_00964.38s,ep18,964.38,965.88,,human,これコトコ
ep18_00973.48s,ep18,973.48,976.68,,human,ジー、ここに誘拐されてきた?
ep18_00979.86s,ep18,979.86,981.52,,human,どうして?
ep18_01010.90s,ep18,1010.9,1015.18,,human,ジョビッツチーガー
ep18_01017.36s,ep18,1017.36,1018.86,,human,ちーわちー
ep18_01022.96s,ep18,1022.96,1026.58,,human,チーは最初チーンしか言えなかったから
ep18_01056.46s,ep18,1056.46,1061.05,,human,ちいはひできがつけてくれた名前
ep18_01060.96s,ep18,1060.96,1064.41,,human,ひできがつけてくれた
ep18_01064.32s,ep18,1064.32,1066.47,,human,だからちー
ep18_01067.76s,ep18,1067.76,1069.4,,human,大好き
ep19_01445.06s,ep19,1445.06,1448.72,,human,地位の特別な人
ep19_01448.66s,ep19,1448.66,1454.28,,human,ちょびっつ 次回 地位 求める
ep19_01454.20s,ep19,1454.2,1458.23,,human,チーのチーだけの人
ep20_00107.51s,ep20,107.51,112.29,,human,ひできのとき
ep20_00121.57s,ep20,124.66,126.24,,human,チーじゃなかったら
ep20_00161.56s,ep20,161.56,164.06,,human,始めるって何を?
ep20_00256.74s,ep20,256.74,257.95,,human,リボム
ep20_00298.06s,ep20,298.06,299.77,,human,ちー特別
ep20_00949.66s,ep20,949.66,950.98,,human,ビデッキ
ep20_00988.82s,ep20,988.82,990.92,,human,急に意識が…
ep20_01006.82s,ep20,1006.82,1008.82,,human,いってき
ep20_01010.82s,ep20,1010.82,1012.99,,human,ひできひできひでき
ep20_01015.82s,ep20,1015.82,1017.82,,human,ちわち
ep20_01021.82s,ep20,1021.82,1024.82,,human,ち、うれしい
ep20_01024.82s,ep20,1024.82,1028.92,,human,ひできが来てくれて嬉しい
ep20_01230.80s,ep20,1230.8,1231.8,,human,てぃ
ep20_01265.08s,ep20,1265.08,1268.7,,human,ひでき、どこ行くの?
ep20_01421.28s,ep20,1421.28,1423.29,,human,チート秀樹にもある?
ep20_01428.34s,ep20,1428.34,1431.33,,human,秀樹とジーの思い出
ep21_00220.34s,ep21,220.34,223.64,,human,ひできお出かけ
ep21_00225.74s,ep21,225.74,227.7,,human,チーク
ep21_00235.00s,ep21,235.0,236.79,,human,チーンバイト楽しい
ep21_00248.00s,ep21,248.0,250.66,,human,Gバイトより今の方がいい
ep21_00253.12s,ep21,253.12,255.07,,human,ちー楽しい
ep21_00806.16s,ep21,806.16,808.55,,human,ひできが様子見てこいって
ep21_00811.90s,ep21,811.9,817.78,,human,ゆずき
ep21_00851.42s,ep21,851.42,852.86,,human,どんなこと?
ep21_00858.52s,ep21,858.52,861.64,,human,新秀樹喜ぶと嬉しい
ep21_00861.48s,ep21,861.48,863.48,,human,ひでき喜ぶなら
ep21_00863.44s,ep21,863.44,865.1,,human,する
ep21_01247.30s,ep21,1247.3,1248.58,,human,ゆずき
ep21_01249.70s,ep21,1249.7,1251.32,,human,ゆずき嬉しそうだった
ep21_01252.56s,ep21,1252.56,1254.58,,human,チームうれしい
ep21_01266.72s,ep21,1266.72,1269.82,,human,ジーとヒデキも思い出ある?
ep22_00197.50s,ep22,197.5,204.16,,human,チ、チロルでもらったお金で料理するチ、秀樹の笑顔見たい
ep22_00312.06s,ep22,312.06,314.24,,human,チーム手伝う
ep22_00314.24s,ep22,314.24,316.3,,human,チーバイトしに来た
ep22_00321.24s,ep22,321.24,322.24,,human,"じー-,"
ep22_00337.24s,ep22,337.24,338.24,,human,チュープ
ep22_00405.98s,ep22,405.98,408.05,,human,違う
ep22_00524.98s,ep22,524.98,526.74,,human,今もそう
ep22_00539.34s,ep22,539.34,541.82,,human,ユミさんが泣いたのはチーのせい
ep22_00541.72s,ep22,541.72,543.4,,human,地位を見て泣いた
ep22_00549.04s,ep22,549.04,550.63,,human,さよなら
ep22_00650.86s,ep22,650.86,652.51,,human,さよならのせい
ep22_00660.44s,ep22,660.44,662.75,,human,さよならどれも同じ
ep22_00711.16s,ep22,711.16,713.4,,human,好きです
ep22_00940.98s,ep22,940.98,942.96,,human,嫌いな人の近くにいたの?
ep22_00960.66s,ep22,960.66,963.27,,human,また、この服を見たら、
ep22_00973.48s,ep22,973.48,977.55,,human,歌いのつらい?どうすればいいの?
ep22_01212.80s,ep22,1212.8,1214.89,,human,ちー間違えた
ep22_01214.84s,ep22,1214.84,1218.84,,human,これゆみさんのだって店長言ってた
ep22_01234.50s,ep22,1234.5,1236.18,,human,私を
ep22_01291.14s,ep22,1291.14,1296.24,,human,ひできつなぐの幸せ
ep22_01438.34s,ep22,1438.34,1441.5,,human,その人がそばにいてくれると幸せ。
ep22_01454.24s,ep22,1454.24,1459.14,,human,ちょびっつ次回地位決める
ep23_00171.38s,ep23,171.38,172.61,,human,非常デスク!
ep23_00182.70s,ep23,182.7,184.68,,human,いらっき
ep23_00200.24s,ep23,200.24,204.2,,human,チー
ep23_00221.30s,ep23,221.3,227.18,,human,今でも胸が辛くなる
ep23_00230.68s,ep23,230.68,234.42,,human,大事なものをなくしたのに
ep23_00237.34s,ep23,237.34,241.52,,human,でも私は探している
ep23_00637.66s,ep23,637.66,639.46,,human,おかえりなさい
ep23_00715.88s,ep23,715.88,717.06,,human,いでき
ep23_00731.08s,ep23,731.08,736.0,,human,秀樹、どうしてチーに抱きつく?
ep23_01264.18s,ep23,1264.18,1272.96,,human,あなたは
ep23_01276.82s,ep23,1276.82,1279.99,,human,Gは秀樹が好き
ep23_01279.90s,ep23,1279.9,1283.08,,human,ひできはちぃが好き?
ep24_00099.00s,ep24,99.0,106.1,,human,あなたは私だけの人?
ep24_00109.70s,ep24,109.7,111.04,,human,地位は秀樹が好き
ep24_00288.00s,ep24,288.0,293.96,,human,邪魔しないで
ep24_00687.16s,ep24,687.16,691.08,,human,フレイヤが消える前に
ep24_01113.70s,ep24,1113.7,1115.7,,human,ひでき
ep24_01224.70s,ep24,1224.7,1228.5,,human,ひでき
ep24_01228.50s,ep24,1228.5,1229.56,,human,ありがとう
ep24_01231.26s,ep24,1231.26,1233.17,,human,Gパソコン
ep24_01233.44s,ep24,1233.44,1235.9,,human,地位人間じゃない
ep24_01235.80s,ep24,1235.8,1238.14,,human,できないこともある
ep24_01241.10s,ep24,1241.1,1243.01,,human,ひできと一緒にいたい
ep24_01317.26s,ep24,1317.26,1318.52,,human,ひでき
